category,count
County office,1
Signwriter and manufacturer,1
Textile merchant,1
Flower wholesale,1
Water purifier supplier,1
Renovation contractor,1
Worm farm supplier,1
Clothing manufacturer,1
Tongue restaurant,1
Lithuanian restaurant,1
Christian City Church,1
Guardia Di Finanza Police,1
Electronics device,1
Oil recycling and disposal,1
Kerala restaurant,1
Students parents association,1
Decoration,1
Recycling collection company,1
Pediatric gastroenterologist,1
Land reform institute,1
Furniture piece,1
Political organization,1
Beauty academy,1
Technical education academy,1
Couscous restaurant,1
Coin operated locker,1
Offal barbecue restaurant,1
Inclined railway station,1
Aqueduct,1
Goan restaurant,1
Agent,1
Asturian restaurant,1
Wax museum,1
Volleyball,1
Book printer,1
Chartered surveyor,1
Cigarette vending machine,1
Ritual services,1
Self service health station,1
Fire proofing contractor,1
Indoor snowcenter,1
Plastic,1
School dentist,1
Fault,1
Waste container,1
Atrium,1
Energy efficiency company,1
Swordsmanship,1
Anago restaurant,1
Ticket holder area,1
Flamenco,1
State Department Science Technology,1
Indoor arena,1
Paan shop,1
Qing fang market place,1
DVD and video services,1
Senior citizens welfare institute,1
Social security financial department,1
Mahjong house,1
Philharmonic hall,1
Turnery,1
Sanctuary,1
Electronics industry,1
Anhui restaurant,1
Nursing room,1
Chamber of handicrafts,1
Citizens advice bureau,1
Town,1
Town square,1
Boiler repair,1
Engineers' merchant,1
Historical market square,1
Grassy area,1
Municipal Department Civil Defense,1
Shandong restaurant,1
Business association local,1
Paper industry,1
Madrilian restaurant,1
Norwegian restaurant,1
Assistante maternelle,1
Joiner,1
Military board,1
Trade centre,1
Wilderness center,1
Civil engineering construction company,1
Municipal Department Social Defense,1
Isthmus,1
Tatami store,1
Water companies,1
Grow shop,1
Business card design and printing service,1
Kitchens,1
Iron and steel industry,1
Non-public area,1
Water services,1
Court of Appeal,1
Fashion,1
Fishing and hunting stores,1
Gate,1
Cured ham warehouse,1
Pediatric rheumatologist,1
Girl bar,1
Mineral supplier,1
Skittle club,1
Paper hanger,1
Election commission,1
Private mailbox,1
Fujian restaurant,1
Faculty of law,1
Venereologist,1
Apparel company,1
Hobbies,1
University lab room,1
Desalination plant,1
Turkmen restaurant,1
Bangle Shop,1
Frituur,1
